Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Issue Stall Reasons (Pipe Busy)(%),Issue Stall Reasons (Immediate constant)(%),Issue Slot Utilization(%),Issue Stall Reasons (Memory Throttle)(%),Achieved Occupancy,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Not Selected)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Other)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Issue Stall Reasons (Instructions Fetch)(%),Executed IPC
"void force_kernel_unrolling<float4, float>(float4 const *, float4*, int, float, float, int const *, int const *, int const *)",100,278586,49,0,0,,,,,,,,,,,,,1.943
"void force_kernel_unrolling2<float4, float>(float4 const *, float4*, int, float, float, int const *, int const *, int const *)",100,327522,44,0,0,,,,,,,,,,,,,1.911
"void force_kernel_swpl3<float4, float>(float4 const *, float4*, int, float, float, int const *, int const *, int const *)",100,351822,32,0,0,,,,,,,,,,,,,1.699
"void force_kernel_swpl<float4, float>(float4 const *, float4*, int, float, float, int const *, int const *, int const *)",100,366275,33,0,0,,,,,,,,,,,,,1.769
"void force_kernel_swpl2<float4, float>(float4 const *, float4*, int, float, float, int const *, int const *, int const *)",100,371534,32,0,0,,,,,,,,,,,,,1.6
"void force_kernel_unrolling2<float3, float>(float3 const *, float3*, int, float, float, int const *, int const *, int const *)",100,374947,44,0,0,,,,,,,,,,,,,1.883
"void force_kernel_memopt2<float4, float>(float4 const *, float4*, int, float, float, int const *, int const *, int const *)",100,375104,30,0,0,,,,,,,,,,,,,1.596
"void force_kernel_memopt3<float4, float>(float4 const *, float4*, int, float, float, int const *, int const *, int const *)",100,375355,34,0,0,,,,,,,,,,,,,1.8
"void force_kernel_swpl3<float3, float>(float3 const *, float3*, int, float, float, int const *, int const *, int const *)",100,403770,32,0,0,,,,,,,,,,,,,1.732
"void force_kernel_swpl<float3, float>(float3 const *, float3*, int, float, float, int const *, int const *, int const *)",100,407384,33,0,0,,,,,,,,,,,,,1.853
"void force_kernel_unrolling2<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)",100,415890,60,0,0,,,,,,,,,,,,,1.308
"void force_kernel_memopt3<float3, float>(float3 const *, float3*, int, float, float, int const *, int const *, int const *)",100,416572,36,0,0,,,,,,,,,,,,,1.842
"void force_kernel_memopt2<float3, float>(float3 const *, float3*, int, float, float, int const *, int const *, int const *)",100,426246,32,0,0,,,,,,,,,,,,,1.643
"void force_kernel_swpl2<float3, float>(float3 const *, float3*, int, float, float, int const *, int const *, int const *)",100,427553,31,0,0,,,,,,,,,,,,,1.651
"void force_kernel_swpl3<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)",100,428599,44,0,0,0.945,0.094,49.195,1.308,0.553,4.798,7.035,0,1.214,17.837,61.722,5.049,1.452
"void force_kernel_unrolling<float3, float>(float3 const *, float3*, int, float, float, int const *, int const *, int const *)",100,448651,47,0,0,,,,,,,,,,,,,1.452
"void force_kernel_memopt3<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)",100,469079,44,0,0,0.757,0.094,45.805,0.992,0.554,1.724,7.403,0,0.785,19.13,64.692,4.424,1.306
"void force_kernel_warp_unroll<float4, float>(float4 const *, float4*, int, float, float, int const *, int const *, int const *)",100,491550,29,0,0,,,,,,,,,,,,,2.981
"void force_kernel_unrolling<double3, double>(double3 const *, double3*, int, double, double, int const *, int const *, int const *)",100,494023,80,0,0,,,,,,,,,,,,,1.84
"void force_kernel_swpl2<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)",100,499091,47,0,0,,,,,,,,,,,,,1.821
"void force_kernel_unrolling2<double3, double>(double3 const *, double3*, int, double, double, int const *, int const *, int const *)",100,499863,60,0,0,,,,,,,,,,,,,1.203
"void force_kernel_swpl3<double3, double>(double3 const *, double3*, int, double, double, int const *, int const *, int const *)",100,516847,42,0,0,,,,,,,,,,,,,1.38
"void force_kernel_swpl<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)",100,520745,54,0,0,,,,,,,,,,,,,2
"void force_kernel_unrolling<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)",100,527558,82,0,0,,,,,,,,,,,,,1.649
"void force_kernel_memopt3<double3, double>(double3 const *, double3*, int, double, double, int const *, int const *, int const *)",100,530273,42,0,0,,,,,,,,,,,,,1.244
"void force_kernel_memopt2<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)",100,531458,49,0,0,,,,,,,,,,,,,1.628
"void force_kernel_warp_unroll<float3, float>(float3 const *, float3*, int, float, float, int const *, int const *, int const *)",100,544605,30,0,0,,,,,,,,,,,,,2.936
"void force_kernel_swpl<double3, double>(double3 const *, double3*, int, double, double, int const *, int const *, int const *)",100,565963,49,0,0,,,,,,,,,,,,,1.911
"void force_kernel_memopt2<double3, double>(double3 const *, double3*, int, double, double, int const *, int const *, int const *)",100,570838,47,0,0,,,,,,,,,,,,,1.62
"void force_kernel_swpl2<double3, double>(double3 const *, double3*, int, double, double, int const *, int const *, int const *)",100,579279,48,0,0,,,,,,,,,,,,,1.657
"void force_kernel_warp_unroll<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)",100,868684,43,0,0,,,,,,,,,,,,,2.267
"void force_kernel_warp_unroll<double3, double>(double3 const *, double3*, int, double, double, int const *, int const *, int const *)",100,907729,41,0,0,,,,,,,,,,,,,2.275
"void force_kernel_memopt<float3, float>(float3 const *, float3*, int, float, float, int const *, int const *, int const *)",100,1928051,36,0,0,,,,,,,,,,,,,0.556
"void force_kernel_memopt<float4, float>(float4 const *, float4*, int, float, float, int const *, int const *, int const *)",100,2080703,36,0,0,,,,,,,,,,,,,0.465
"void force_kernel_memopt<double3, double>(double3 const *, double3*, int, double, double, int const *, int const *, int const *)",100,2164294,41,0,0,,,,,,,,,,,,,0.444
"void force_kernel_memopt<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)",100,2369999,41,0,0,,,,,,,,,,,,,0.383
"void force_kernel_ifless<float4, float>(float4 const *, float4*, int, float, float, int const *, int const *, int const *)",100,2476331,37,0,0,,,,,,,,,,,,,0.403
"void force_kernel_ifless<float3, float>(float3 const *, float3*, int, float, float, int const *, int const *, int const *)",100,2820000,37,0,0,,,,,,,,,,,,,0.361
"void force_kernel_plain<float4, float>(float4 const *, float4*, int, float, float, int const *, int const *, int const *)",100,3040946,31,0,0,,,,,,,,,,,,,0.342
"void force_kernel_plain<float3, float>(float3 const *, float3*, int, float, float, int const *, int const *, int const *)",100,3341758,31,0,0,,,,,,,,,,,,,0.342
"void force_kernel_ifless<double3, double>(double3 const *, double3*, int, double, double, int const *, int const *, int const *)",100,3497145,42,0,0,,,,,,,,,,,,,0.265
"void force_kernel_ifless<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)",100,3659184,42,0,0,,,,,,,,,,,,,0.259
"void force_kernel_plain<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)",100,3936037,35,0,0,,,,,,,,,,,,,0.227
"void force_kernel_plain<double3, double>(double3 const *, double3*, int, double, double, int const *, int const *, int const *)",100,4073080,35,0,0,,,,,,,,,,,,,0.229
