==13499== NVPROF is profiling process 13499, command: ./gpu_cuda.out
Pairlist cache data may be broken.
Now make pairlist .cache_pair_all.dat.
==13499== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
N=119164, force_kernel_plain_float3 198.725757 [sec]
N=119164, force_kernel_plain_float4 198.278628 [sec]
N=119164, force_kernel_plain_double3 213.439076 [sec]
N=119164, force_kernel_plain_double4 210.986194 [sec]
N=119164, force_kernel_ifless_float3 207.474158 [sec]
N=119164, force_kernel_ifless_float4 208.425307 [sec]
N=119164, force_kernel_ifless_double3 214.064409 [sec]
N=119164, force_kernel_ifless_double4 218.528656 [sec]
N=119164, force_kernel_memopt_float3 215.032226 [sec]
N=119164, force_kernel_memopt_float4 215.521345 [sec]
N=119164, force_kernel_memopt_double3 219.739928 [sec]
N=119164, force_kernel_memopt_double4 221.064323 [sec]
N=119164, force_kernel_memopt2_float3 217.243996 [sec]
N=119164, force_kernel_memopt2_float4 217.321786 [sec]
N=119164, force_kernel_memopt2_double3 223.622752 [sec]
N=119164, force_kernel_memopt2_double4 225.318358 [sec]
N=119164, force_kernel_swpl_float3 232.831485 [sec]
N=119164, force_kernel_swpl_float4 234.931827 [sec]
N=119164, force_kernel_swpl_double3 239.702527 [sec]
N=119164, force_kernel_swpl_double4 240.808636 [sec]
N=119164, force_kernel_swpl2_float3 246.460855 [sec]
N=119164, force_kernel_swpl2_float4 248.071242 [sec]
N=119164, force_kernel_swpl2_double3 256.488962 [sec]
N=119164, force_kernel_swpl2_double4 258.784471 [sec]
N=119164, force_kernel_unrolling_float3 268.571780 [sec]
N=119164, force_kernel_unrolling_float4 268.943734 [sec]
N=119164, force_kernel_unrolling_double3 280.361175 [sec]
N=119164, force_kernel_unrolling_double4 285.550603 [sec]
N=119164, force_kernel_warp_unroll_float3 299.844496 [sec]
N=119164, force_kernel_warp_unroll_float4 304.500852 [sec]
N=119164, force_kernel_warp_unroll_double3 318.511892 [sec]
N=119164, force_kernel_warp_unroll_double4 327.022450 [sec]
==13499== Profiling application: ./gpu_cuda.out
==13499== Profiling result:
==13499== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "Tesla P100-PCIE-16GB (0)"
    Kernel: void force_kernel_plain<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)
        100                             inst_per_warp                                 Instructions per warp  7.4849e+03  7.4849e+03  7.4849e+03
        100                         branch_efficiency                                     Branch Efficiency      98.56%      98.56%      98.56%
        100                 warp_execution_efficiency                             Warp Execution Efficiency      85.94%      85.94%      85.94%
        100         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency      84.38%      84.38%      84.38%
        100                      inst_replay_overhead                           Instruction Replay Overhead    0.000062    0.000164    0.000087
        100      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
        100     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
        100       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
        100      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
        100              gld_transactions_per_request                  Global Load Transactions Per Request   28.132902   28.132902   28.132902
        100              gst_transactions_per_request                 Global Store Transactions Per Request   25.929356   25.929356   25.929356
        100                 shared_store_transactions                             Shared Store Transactions           0           0           0
        100                  shared_load_transactions                              Shared Load Transactions           0           0           0
        100                   local_load_transactions                               Local Load Transactions         734         734         734
        100                  local_store_transactions                              Local Store Transactions         734         734         734
        100                          gld_transactions                              Global Load Transactions    74077306    74077306    74077306
        100                          gst_transactions                             Global Store Transactions    27134916    27134916    27134916
        100                  sysmem_read_transactions                       System Memory Read Transactions           0           0           0
        100                 sysmem_write_transactions                      System Memory Write Transactions           5           5           5
        100                      l2_read_transactions                                  L2 Read Transactions    45532919    45610618    45575993
        100                     l2_write_transactions                                 L2 Write Transactions    36092293    36146278    36119416
        100                    dram_read_transactions                       Device Memory Read Transactions    43930697    44320543    44099547
        100                   dram_write_transactions                      Device Memory Write Transactions    11432605    11614137    11515511
        100                           global_hit_rate                                       Global Hit Rate      38.42%      38.51%      38.48%
        100                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
        100                  gld_requested_throughput                      Requested Global Load Throughput  123.18GB/s  123.93GB/s  123.62GB/s
        100                  gst_requested_throughput                     Requested Global Store Throughput  53.000GB/s  53.323GB/s  53.191GB/s
        100                            gld_throughput                                Global Load Throughput  385.84GB/s  388.19GB/s  387.23GB/s
        100                            gst_throughput                               Global Store Throughput  141.33GB/s  142.19GB/s  141.84GB/s
        100                     local_memory_overhead                                 Local Memory Overhead       0.00%       0.00%       0.00%
        100                        tex_cache_hit_rate                                Unified Cache Hit Rate      28.11%      28.19%      28.16%
        100                      l2_tex_read_hit_rate                           L2 Hit Rate (Texture Reads)      21.68%      23.20%      22.52%
        100                     l2_tex_write_hit_rate                          L2 Hit Rate (Texture Writes)      67.41%      67.61%      67.52%
        100                      dram_read_throughput                         Device Memory Read Throughput  229.07GB/s  231.98GB/s  230.52GB/s
        100                     dram_write_throughput                        Device Memory Write Throughput  59.668GB/s  60.715GB/s  60.195GB/s
        100                      tex_cache_throughput                              Unified Cache Throughput  140.79GB/s  141.65GB/s  141.30GB/s
        100                    l2_tex_read_throughput                         L2 Throughput (Texture Reads)  237.39GB/s  238.96GB/s  238.24GB/s
        100                   l2_tex_write_throughput                        L2 Throughput (Texture Writes)  141.34GB/s  142.20GB/s  141.85GB/s
        100                        l2_read_throughput                                 L2 Throughput (Reads)  237.40GB/s  238.83GB/s  238.24GB/s
        100                       l2_write_throughput                                L2 Throughput (Writes)  188.27GB/s  189.33GB/s  188.81GB/s
        100                    sysmem_read_throughput                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                   sysmem_write_throughput                        System Memory Write Throughput  27.308KB/s  27.474KB/s  0.00000B/s
        100                     local_load_throughput                          Local Memory Load Throughput  3.9149MB/s  3.9387MB/s  3.8147MB/s
        100                    local_store_throughput                         Local Memory Store Throughput  3.9149MB/s  3.9387MB/s  3.8147MB/s
        100                    shared_load_throughput                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                   shared_store_throughput                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                            gld_efficiency                         Global Memory Load Efficiency      31.93%      31.93%      31.93%
        100                            gst_efficiency                        Global Memory Store Efficiency      37.50%      37.50%      37.50%
        100                    tex_cache_transactions                            Unified Cache Transactions    27030242    27030242    27030242
        100                             flop_count_dp           Floating Point Operations(Double Precision)   451057168   451057168   451057168
        100                         flop_count_dp_add       Floating Point Operations(Double Precision Add)    47039316    47039316    47039316
        100                         flop_count_dp_fma       Floating Point Operations(Double Precision FMA)   153466666   153466666   153466666
        100                         flop_count_dp_mul       Floating Point Operations(Double Precision Mul)    97084520    97084520    97084520
        100                             flop_count_sp           Floating Point Operations(Single Precision)    27134916    27134916    27134916
        100                         flop_count_sp_add       Floating Point Operations(Single Precision Add)           0           0           0
        100                         flop_count_sp_fma       Floating Point Operations(Single Precision FMA)    13567458    13567458    13567458
        100                         flop_count_sp_mul        Floating Point Operation(Single Precision Mul)           0           0           0
        100                     flop_count_sp_special   Floating Point Operations(Single Precision Special)    13567458    13567458    13567458
        100                             inst_executed                                 Instructions Executed    27873602    27873602    27873602
        100                               inst_issued                                   Instructions Issued    27875327    27878168    27876003
        100                          dram_utilization                             Device Memory Utilization     Mid (5)     Mid (5)     Mid (5)
        100                        sysmem_utilization                             System Memory Utilization     Low (1)     Low (1)     Low (1)
        100                          stall_inst_fetch              Issue Stall Reasons (Instructions Fetch)       0.22%       0.23%       0.23%
        100                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)      13.19%      13.37%      13.29%
        100                   stall_memory_dependency                    Issue Stall Reasons (Data Request)      81.64%      81.89%      81.75%
        100                             stall_texture                         Issue Stall Reasons (Texture)       4.11%       4.20%       4.15%
        100                                stall_sync                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
        100                               stall_other                           Issue Stall Reasons (Other)       0.51%       0.54%       0.53%
        100          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)       0.00%       0.01%       0.00%
        100                           stall_pipe_busy                       Issue Stall Reasons (Pipe Busy)       0.03%       0.03%       0.03%
        100                         shared_efficiency                              Shared Memory Efficiency       0.00%       0.00%       0.00%
        100                                inst_fp_32                               FP Instructions(Single)    54269832    54269832    54269832
        100                                inst_fp_64                               FP Instructions(Double)   313270274   313270274   313270274
        100                              inst_integer                                  Integer Instructions   167928026   167928026   167928026
        100                          inst_bit_convert                              Bit-Convert Instructions           0           0           0
        100                              inst_control                             Control-Flow Instructions    74174236    74174236    74174236
        100                        inst_compute_ld_st                               Load/Store Instructions   101785804   101785804   101785804
        100                                 inst_misc                                     Misc Instructions    41179042    41179042    41179042
